S,D,SD,seed,miss,method,rho,top_misrank
0.0,2.5,0.0,1,biased,avg,1.0,0
0.0,2.5,0.0,1,biased,irt,1.0,0
0.0,2.5,0.0,1,mcar,avg,1.0,0
0.0,2.5,0.0,2,biased,avg,1.0,0
0.0,2.5,0.0,2,biased,irt,1.0,0
0.0,2.5,0.0,2,mcar,avg,1.0,0
0.0,2.5,0.0,3,biased,avg,1.0,0
0.0,2.5,0.0,3,biased,irt,1.0,0
0.0,2.5,0.0,3,mcar,avg,1.0,0
0.0,2.5,0.0,4,biased,avg,1.0,0
0.0,2.5,0.0,4,biased,irt,1.0,0
0.0,2.5,0.0,4,mcar,avg,1.0,0
0.0,2.5,0.0,5,biased,avg,1.0,0
0.0,2.5,0.0,5,biased,irt,1.0,0
0.0,2.5,0.0,5,mcar,avg,1.0,0
0.0,2.5,0.0,6,biased,avg,1.0,0
0.0,2.5,0.0,6,biased,irt,1.0,0
0.0,2.5,0.0,6,mcar,avg,1.0,0
0.0,2.5,0.0,7,biased,avg,1.0,0
0.0,2.5,0.0,7,biased,irt,1.0,0
0.0,2.5,0.0,7,mcar,avg,1.0,0
0.0,2.5,0.0,8,biased,avg,1.0,0
0.0,2.5,0.0,8,biased,irt,1.0,0
0.0,2.5,0.0,8,mcar,avg,1.0,0
0.0,2.5,0.0,9,biased,avg,1.0,0
0.0,2.5,0.0,9,biased,irt,1.0,0
0.0,2.5,0.0,9,mcar,avg,1.0,0
0.0,2.5,0.0,10,biased,avg,1.0,0
0.0,2.5,0.0,10,biased,irt,1.0,0
0.0,2.5,0.0,10,mcar,avg,1.0,0
0.0,2.5,0.0,11,biased,avg,1.0,0
0.0,2.5,0.0,11,biased,irt,1.0,0
0.0,2.5,0.0,11,mcar,avg,1.0,0
0.0,2.5,0.0,12,biased,avg,1.0,0
0.0,2.5,0.0,12,biased,irt,1.0,0
0.0,2.5,0.0,12,mcar,avg,1.0,0
0.0,2.5,0.0,13,biased,avg,1.0,0
0.0,2.5,0.0,13,biased,irt,1.0,0
0.0,2.5,0.0,13,mcar,avg,1.0,0
0.0,2.5,0.0,14,biased,avg,1.0,0
0.0,2.5,0.0,14,biased,irt,1.0,0
0.0,2.5,0.0,14,mcar,avg,1.0,0
0.0,3.0,0.0,0,biased,avg,1.0,0
0.0,3.0,0.0,0,biased,irt,1.0,0
0.0,3.0,0.0,0,mcar,avg,1.0,0
0.0,3.0,0.0,1,biased,avg,1.0,0
0.0,3.0,0.0,1,biased,irt,1.0,0
0.0,3.0,0.0,1,mcar,avg,1.0,0
0.0,3.0,0.0,2,biased,avg,1.0,0
0.0,3.0,0.0,2,biased,irt,1.0,0
0.0,3.0,0.0,2,mcar,avg,1.0,0
0.0,3.0,0.0,3,biased,avg,1.0,0
0.0,3.0,0.0,3,biased,irt,1.0,0
0.0,3.0,0.0,3,mcar,avg,1.0,0
0.0,3.0,0.0,4,biased,avg,1.0,0
0.0,3.0,0.0,4,biased,irt,1.0,0
0.0,3.0,0.0,4,mcar,avg,1.0,0
0.0,3.0,0.0,5,biased,avg,1.0,0
0.0,3.0,0.0,5,biased,irt,1.0,0
0.0,3.0,0.0,5,mcar,avg,1.0,0
0.0,3.0,0.0,6,biased,avg,1.0,0
0.0,3.0,0.0,6,biased,irt,1.0,0
0.0,3.0,0.0,6,mcar,avg,1.0,0
0.0,3.0,0.0,7,biased,avg,1.0,0
0.0,3.0,0.0,7,biased,irt,1.0,0
0.0,3.0,0.0,7,mcar,avg,1.0,0
0.0,3.0,0.0,8,biased,avg,1.0,0
0.0,3.0,0.0,8,biased,irt,1.0,0
0.0,3.0,0.0,8,mcar,avg,1.0,0
0.0,3.0,0.0,9,biased,avg,1.0,0
0.0,3.0,0.0,9,biased,irt,1.0,0
0.0,3.0,0.0,9,mcar,avg,1.0,0
0.0,3.0,0.0,10,biased,avg,1.0,0
0.0,3.0,0.0,10,biased,irt,1.0,0
0.0,3.0,0.0,10,mcar,avg,1.0,0
0.0,3.0,0.0,11,biased,avg,1.0,0
0.0,3.0,0.0,11,biased,irt,1.0,0
0.0,3.0,0.0,11,mcar,avg,1.0,0
0.0,3.0,0.0,12,biased,avg,1.0,0
0.0,3.0,0.0,12,biased,irt,1.0,0
0.0,3.0,0.0,12,mcar,avg,1.0,0
0.0,3.0,0.0,13,biased,avg,1.0,0
0.0,3.0,0.0,13,biased,irt,1.0,0
0.0,3.0,0.0,13,mcar,avg,1.0,0
0.0,3.0,0.0,14,biased,avg,1.0,0
0.0,3.0,0.0,14,biased,irt,1.0,0
0.0,3.0,0.0,14,mcar,avg,1.0,0
0.0,3.5,0.0,0,biased,avg,1.0,0
0.0,3.5,0.0,0,biased,irt,1.0,0
0.0,3.5,0.0,0,mcar,avg,1.0,0
0.0,3.5,0.0,1,biased,avg,1.0,0
0.0,3.5,0.0,1,biased,irt,1.0,0
0.0,3.5,0.0,1,mcar,avg,1.0,0
0.0,3.5,0.0,2,biased,avg,1.0,0
0.0,3.5,0.0,2,biased,irt,1.0,0
0.0,3.5,0.0,2,mcar,avg,1.0,0
0.0,3.5,0.0,3,biased,avg,1.0,0
0.0,3.5,0.0,3,biased,irt,1.0,0
0.0,3.5,0.0,3,mcar,avg,1.0,0
0.0,3.5,0.0,4,biased,avg,1.0,0
0.0,3.5,0.0,4,biased,irt,1.0,0
0.0,3.5,0.0,4,mcar,avg,1.0,0
0.0,3.5,0.0,5,biased,avg,1.0,0
0.0,3.5,0.0,5,biased,irt,1.0,0
0.0,3.5,0.0,5,mcar,avg,1.0,0
0.0,3.5,0.0,6,biased,avg,1.0,0
0.0,3.5,0.0,6,biased,irt,1.0,0
0.0,3.5,0.0,6,mcar,avg,1.0,0
0.0,3.5,0.0,7,biased,avg,1.0,0
0.0,3.5,0.0,7,biased,irt,1.0,0
0.0,3.5,0.0,7,mcar,avg,1.0,0
0.0,3.5,0.0,8,biased,avg,1.0,0
0.0,3.5,0.0,8,biased,irt,1.0,0
0.0,3.5,0.0,8,mcar,avg,1.0,0
0.0,3.5,0.0,9,biased,avg,1.0,0
0.0,3.5,0.0,9,biased,irt,1.0,0
0.0,3.5,0.0,9,mcar,avg,1.0,0
0.0,3.5,0.0,10,biased,avg,1.0,0
0.0,3.5,0.0,10,biased,irt,1.0,0
0.0,3.5,0.0,10,mcar,avg,1.0,0
0.0,3.5,0.0,11,biased,avg,1.0,0
0.0,3.5,0.0,11,biased,irt,1.0,0
0.0,3.5,0.0,11,mcar,avg,1.0,0
0.0,3.5,0.0,12,biased,avg,1.0,0
0.0,3.5,0.0,12,biased,irt,1.0,0
0.0,3.5,0.0,12,mcar,avg,1.0,0
0.0,3.5,0.0,13,biased,avg,1.0,0
0.0,3.5,0.0,13,biased,irt,1.0,0
0.0,3.5,0.0,13,mcar,avg,1.0,0
0.0,3.5,0.0,14,biased,avg,1.0,0
0.0,3.5,0.0,14,biased,irt,1.0,0
0.0,3.5,0.0,14,mcar,avg,1.0,0
0.0,4.0,0.0,0,biased,avg,1.0,0
0.0,4.0,0.0,0,biased,irt,1.0,0
0.0,4.0,0.0,0,mcar,avg,1.0,0
0.0,4.0,0.0,1,biased,avg,1.0,0
0.0,4.0,0.0,1,biased,irt,1.0,0
0.0,4.0,0.0,1,mcar,avg,1.0,0
0.0,4.0,0.0,2,biased,avg,1.0,0
0.0,4.0,0.0,2,biased,irt,1.0,0
0.0,4.0,0.0,2,mcar,avg,1.0,0
0.0,4.0,0.0,3,biased,avg,1.0,0
0.0,4.0,0.0,3,biased,irt,1.0,0
0.0,4.0,0.0,3,mcar,avg,1.0,0
0.0,4.0,0.0,4,biased,avg,1.0,0
0.0,4.0,0.0,4,biased,irt,1.0,0
0.0,4.0,0.0,4,mcar,avg,1.0,0
0.0,4.0,0.0,5,biased,avg,1.0,0
0.0,4.0,0.0,5,biased,irt,1.0,0
0.0,4.0,0.0,5,mcar,avg,1.0,0
0.0,4.0,0.0,6,biased,avg,1.0,0
0.0,4.0,0.0,6,biased,irt,1.0,0
0.0,4.0,0.0,6,mcar,avg,1.0,0
0.0,4.0,0.0,7,biased,avg,1.0,0
0.0,4.0,0.0,7,biased,irt,1.0,0
0.0,4.0,0.0,7,mcar,avg,1.0,0
0.0,4.0,0.0,8,biased,avg,1.0,0
0.0,4.0,0.0,8,biased,irt,1.0,0
0.0,4.0,0.0,8,mcar,avg,1.0,0
0.0,4.0,0.0,9,biased,avg,1.0,0
0.0,4.0,0.0,9,biased,irt,1.0,0
0.0,4.0,0.0,9,mcar,avg,1.0,0
0.0,4.0,0.0,10,biased,avg,1.0,0
0.0,4.0,0.0,10,biased,irt,1.0,0
0.0,4.0,0.0,10,mcar,avg,1.0,0
0.0,4.0,0.0,11,biased,avg,1.0,0
0.0,4.0,0.0,11,biased,irt,1.0,0
0.0,4.0,0.0,11,mcar,avg,1.0,0
0.0,4.0,0.0,12,biased,avg,1.0,0
0.0,4.0,0.0,12,biased,irt,1.0,0
0.0,4.0,0.0,12,mcar,avg,1.0,0
0.0,4.0,0.0,13,biased,avg,1.0,0
0.0,4.0,0.0,13,biased,irt,1.0,0
0.0,4.0,0.0,13,mcar,avg,1.0,0
0.0,4.0,0.0,14,biased,avg,1.0,0
0.0,4.0,0.0,14,biased,irt,1.0,0
0.0,4.0,0.0,14,mcar,avg,1.0,0
0.0,4.5,0.0,0,biased,avg,1.0,0
0.0,4.5,0.0,0,biased,irt,1.0,0
0.0,4.5,0.0,0,mcar,avg,1.0,0
0.0,4.5,0.0,1,biased,avg,1.0,0
0.0,4.5,0.0,1,biased,irt,1.0,0
0.0,4.5,0.0,1,mcar,avg,1.0,0
0.0,4.5,0.0,2,biased,avg,1.0,0
0.0,4.5,0.0,2,biased,irt,1.0,0
0.0,4.5,0.0,2,mcar,avg,1.0,0
0.0,4.5,0.0,3,biased,avg,1.0,0
0.0,4.5,0.0,3,biased,irt,1.0,0
0.0,4.5,0.0,3,mcar,avg,1.0,0
0.0,4.5,0.0,4,biased,avg,1.0,0
0.0,4.5,0.0,4,biased,irt,1.0,0
0.0,4.5,0.0,4,mcar,avg,1.0,0
0.0,4.5,0.0,5,biased,avg,1.0,0
0.0,4.5,0.0,5,biased,irt,1.0,0
0.0,4.5,0.0,5,mcar,avg,1.0,0
0.0,4.5,0.0,6,biased,avg,1.0,0
0.0,4.5,0.0,6,biased,irt,1.0,0
0.0,4.5,0.0,6,mcar,avg,1.0,0
0.0,4.5,0.0,7,biased,avg,1.0,0
0.0,4.5,0.0,7,biased,irt,1.0,0
0.0,4.5,0.0,7,mcar,avg,1.0,0
0.0,4.5,0.0,8,biased,avg,1.0,0
0.0,4.5,0.0,8,biased,irt,1.0,0
0.0,4.5,0.0,8,mcar,avg,1.0,0
0.0,4.5,0.0,9,biased,avg,1.0,0
0.0,4.5,0.0,9,biased,irt,1.0,0
0.0,4.5,0.0,9,mcar,avg,1.0,0
0.0,4.5,0.0,10,biased,avg,1.0,0
0.0,4.5,0.0,10,biased,irt,1.0,0
0.0,4.5,0.0,10,mcar,avg,1.0,0
0.0,4.5,0.0,11,biased,avg,1.0,0
0.0,4.5,0.0,11,biased,irt,1.0,0
0.0,4.5,0.0,11,mcar,avg,1.0,0
0.0,4.5,0.0,12,biased,avg,1.0,0
0.0,4.5,0.0,12,biased,irt,1.0,0
0.0,4.5,0.0,12,mcar,avg,1.0,0
0.0,4.5,0.0,13,biased,avg,1.0,0
0.0,4.5,0.0,13,biased,irt,1.0,0
0.0,4.5,0.0,13,mcar,avg,1.0,0
0.0,4.5,0.0,14,biased,avg,1.0,0
0.0,4.5,0.0,14,biased,irt,1.0,0
0.0,4.5,0.0,14,mcar,avg,1.0,0
0.0,5.0,0.0,0,biased,avg,1.0,0
0.0,5.0,0.0,0,biased,irt,1.0,0
0.0,5.0,0.0,0,mcar,avg,1.0,0
0.0,5.0,0.0,1,biased,avg,1.0,0
0.0,5.0,0.0,1,biased,irt,1.0,0
0.0,5.0,0.0,1,mcar,avg,1.0,0
0.0,5.0,0.0,2,biased,avg,1.0,0
0.0,5.0,0.0,2,biased,irt,1.0,0
0.0,5.0,0.0,2,mcar,avg,1.0,0
0.0,5.0,0.0,3,biased,avg,1.0,0
0.0,5.0,0.0,3,biased,irt,1.0,0
0.0,5.0,0.0,3,mcar,avg,1.0,0
0.0,5.0,0.0,4,biased,avg,1.0,0
0.0,5.0,0.0,4,biased,irt,1.0,0
0.0,5.0,0.0,4,mcar,avg,1.0,0
0.0,5.0,0.0,5,biased,avg,1.0,0
0.0,5.0,0.0,5,biased,irt,1.0,0
0.0,5.0,0.0,5,mcar,avg,1.0,0
0.0,5.0,0.0,6,biased,avg,1.0,0
0.0,5.0,0.0,6,biased,irt,1.0,0
0.0,5.0,0.0,6,mcar,avg,1.0,0
0.0,5.0,0.0,7,biased,avg,1.0,0
0.0,5.0,0.0,7,biased,irt,1.0,0
0.0,5.0,0.0,7,mcar,avg,1.0,0
0.0,5.0,0.0,8,biased,avg,1.0,0
0.0,5.0,0.0,8,biased,irt,1.0,0
0.0,5.0,0.0,8,mcar,avg,1.0,0
0.0,5.0,0.0,9,biased,avg,1.0,0
0.0,5.0,0.0,9,biased,irt,1.0,0
0.0,5.0,0.0,9,mcar,avg,1.0,0
0.0,5.0,0.0,10,biased,avg,1.0,0
0.0,5.0,0.0,10,biased,irt,1.0,0
0.0,5.0,0.0,10,mcar,avg,1.0,0
0.0,5.0,0.0,11,biased,avg,1.0,0
0.0,5.0,0.0,11,biased,irt,1.0,0
0.0,5.0,0.0,11,mcar,avg,1.0,0
0.0,5.0,0.0,12,biased,avg,1.0,0
0.0,5.0,0.0,12,biased,irt,1.0,0
0.0,5.0,0.0,12,mcar,avg,1.0,0
0.0,5.0,0.0,13,biased,avg,1.0,0
0.0,5.0,0.0,13,biased,irt,1.0,0
0.0,5.0,0.0,13,mcar,avg,1.0,0
0.0,5.0,0.0,14,biased,avg,1.0,0
0.0,5.0,0.0,14,biased,irt,1.0,0
0.0,5.0,0.0,14,mcar,avg,1.0,0
0.05,0.5,0.025,0,biased,avg,1.0,0
0.05,0.5,0.025,0,biased,irt,1.0,0
0.05,0.5,0.025,0,mcar,avg,1.0,0
0.05,0.5,0.025,1,biased,avg,1.0,0
0.05,0.5,0.025,1,biased,irt,1.0,0
0.05,0.5,0.025,1,mcar,avg,1.0,0
0.05,0.5,0.025,2,biased,avg,1.0,0
0.05,0.5,0.025,2,biased,irt,1.0,0
0.05,0.5,0.025,2,mcar,avg,1.0,0
0.05,0.5,0.025,3,biased,avg,1.0,0
0.05,0.5,0.025,3,biased,irt,1.0,0
0.05,0.5,0.025,3,mcar,avg,1.0,0
0.05,0.5,0.025,4,biased,avg,0.9879,0
0.05,0.5,0.025,4,biased,irt,1.0,0
0.05,0.5,0.025,4,mcar,avg,1.0,0
0.05,0.5,0.025,5,biased,avg,1.0,0
0.05,0.5,0.025,5,biased,irt,1.0,0
0.05,0.5,0.025,5,mcar,avg,1.0,0
0.05,0.5,0.025,6,biased,avg,1.0,0
0.05,0.5,0.025,6,biased,irt,1.0,0
0.05,0.5,0.025,6,mcar,avg,1.0,0
0.05,0.5,0.025,7,biased,avg,1.0,0
0.05,0.5,0.025,7,biased,irt,1.0,0
0.05,0.5,0.025,7,mcar,avg,1.0,0
0.05,0.5,0.025,8,biased,avg,1.0,0
0.05,0.5,0.025,8,biased,irt,1.0,0
0.05,0.5,0.025,8,mcar,avg,1.0,0
0.05,0.5,0.025,9,biased,avg,1.0,0
0.05,0.5,0.025,9,biased,irt,1.0,0
0.05,0.5,0.025,9,mcar,avg,1.0,0
0.05,0.5,0.025,10,biased,avg,1.0,0
0.05,0.5,0.025,10,biased,irt,1.0,0
0.05,0.5,0.025,10,mcar,avg,1.0,0
0.05,0.5,0.025,11,biased,avg,1.0,0
0.05,0.5,0.025,11,biased,irt,1.0,0
0.05,0.5,0.025,11,mcar,avg,1.0,0
0.05,0.5,0.025,12,biased,avg,1.0,0
0.05,0.5,0.025,12,biased,irt,1.0,0
0.05,0.5,0.025,12,mcar,avg,1.0,0
0.05,0.5,0.025,13,biased,avg,1.0,0
0.05,0.5,0.025,13,biased,irt,1.0,0
0.05,0.5,0.025,13,mcar,avg,1.0,0
0.05,0.5,0.025,14,biased,avg,1.0,0
0.05,0.5,0.025,14,biased,irt,1.0,0
0.05,0.5,0.025,14,mcar,avg,1.0,0
0.05,1.0,0.05,0,biased,avg,1.0,0
0.05,1.0,0.05,0,biased,irt,1.0,0
0.05,1.0,0.05,0,mcar,avg,1.0,0
0.05,1.0,0.05,1,biased,avg,1.0,0
0.05,1.0,0.05,1,biased,irt,1.0,0
0.05,1.0,0.05,1,mcar,avg,1.0,0
0.05,1.0,0.05,2,biased,avg,1.0,0
0.05,1.0,0.05,2,biased,irt,1.0,0
0.05,1.0,0.05,2,mcar,avg,1.0,0
0.05,1.0,0.05,3,biased,avg,1.0,0
0.05,1.0,0.05,3,biased,irt,1.0,0
0.05,1.0,0.05,3,mcar,avg,1.0,0
0.05,1.0,0.05,4,biased,avg,1.0,0
0.05,1.0,0.05,4,biased,irt,1.0,0
0.05,1.0,0.05,4,mcar,avg,1.0,0
0.05,1.0,0.05,5,biased,avg,1.0,0
0.05,1.0,0.05,5,biased,irt,1.0,0
0.05,1.0,0.05,5,mcar,avg,1.0,0
0.05,1.0,0.05,6,biased,avg,1.0,0
0.05,1.0,0.05,6,biased,irt,1.0,0
0.05,1.0,0.05,6,mcar,avg,1.0,0
0.05,1.0,0.05,7,biased,avg,1.0,0
0.05,1.0,0.05,7,biased,irt,1.0,0
0.05,1.0,0.05,7,mcar,avg,1.0,0
0.05,1.0,0.05,8,biased,avg,1.0,0
0.05,1.0,0.05,8,biased,irt,1.0,0
0.05,1.0,0.05,8,mcar,avg,1.0,0
0.05,1.0,0.05,9,biased,avg,1.0,0
0.05,1.0,0.05,9,biased,irt,1.0,0
0.05,1.0,0.05,9,mcar,avg,1.0,0
0.05,1.0,0.05,10,biased,avg,1.0,0
0.05,1.0,0.05,10,biased,irt,1.0,0
0.05,1.0,0.05,10,mcar,avg,1.0,0
0.05,1.0,0.05,11,biased,avg,1.0,0
